total_enthalpy,free_energy,homo,lumo,gap
-33.05129349,-32.96496904,-0.396777193,-0.222718629,0.166295699
-43.00906328,-43.35675652,-0.389667147,-0.280210564,0.113295612
-34.11977776,-33.52725849,-0.384690628,-0.287634516,0.090605574
-41.15309826,-40.69218209,-0.437584016,-0.329433552,0.105978162
-28.47689494,-28.37341989,-0.409070227,-0.275973736,0.12542713
-17.40933793,-17.54636773,-0.429864078,-0.306695098,0.121320169
-26.9164789,-27.4610783,-0.426729328,-0.318976808,0.120614351
-41.26555877,-40.82635991,-0.442194356,-0.350319624,0.096882356
-32.11470843,-31.87407958,-0.396756852,-0.272630494,0.124828145
-41.2848171,-40.87942884,-0.441539055,-0.342491171,0.103603748
-41.05344465,-40.84471781,-0.440366301,-0.345022485,0.100125393
-26.98494614,-23.97109538,-0.413529644,-0.094340631,0.323761247
-43.3481047,-43.98782665,-0.348359894,-0.244983733,0.117449185
-34.07785693,-34.41546597,-0.375658539,-0.229675322,0.147852378
-31.97006755,-30.96191465,-0.369337412,-0.206973428,0.176793423
-27.40301465,-23.60652591,-0.363955218,-0.203672981,0.17635265
-29.24744693,-27.42341772,-0.369695651,-0.204601409,0.175979841
-26.18184151,-26.88398731,-0.428862862,-0.327725864,0.117282894
-32.08140357,-32.01021993,-0.403710926,-0.270509397,0.128707927
-44.49443784,-44.44850243,-0.421975372,-0.263645899,0.16033382
-36.87812876,-36.9700831,-0.409113848,-0.260457147,0.155891753
-34.57697315,-34.26982406,-0.403308817,-0.301782879,0.101708055
-23.98094589,-19.40346528,-0.362595593,-0.205223163,0.175342828
-62.46884573,-63.02823827,-0.339597606,-0.23023748,0.127311622
-38.78529838,-38.43842714,-0.437674545,-0.331565111,0.101648461
-24.28408614,-17.78770883,-0.417552351,-0.111573997,0.31691329
-28.48545718,-28.30435885,-0.404547002,-0.282069703,0.119973451
-48.35886102,-48.77646015,-0.366247272,-0.231264305,0.147148457
-40.14278811,-40.38396522,-0.406527786,-0.258389782,0.154931946
-44.87148549,-44.01560162,-0.374085461,-0.266134397,0.133862793
-30.45560976,-30.02071505,-0.371973558,-0.277765571,0.115350732
-36.96104551,-36.78125788,-0.410133329,-0.311355122,0.098400724
-49.75293314,-49.7324056,-0.350186298,-0.288178571,0.069459397
-32.89400305,-30.74550649,-0.404352296,-0.30578248,0.111615945
-25.71723524,-26.24040078,-0.42562264,-0.335347246,0.114745232
-26.19311711,-23.6164192,-0.378350346,-0.20388761,0.175667653
-28.71069292,-26.929137,-0.369951104,-0.208086043,0.175061362
-31.88274879,-30.51025652,-0.373827908,-0.20613428,0.176578181
-25.01182307,-19.97080123,-0.414310426,-0.097551737,0.321318283
-25.05723251,-21.26537122,-0.409994082,-0.083338495,0.3315104
-59.09117417,-59.28878569,-0.38394562,-0.29325241,0.095059186
-29.3185431,-27.58799361,-0.36296839,-0.206708214,0.179531568
