total_enthalpy,free_energy,homo,lumo,gap
-25.79456791,-18.88709362,-0.337984934,-0.016309244,0.32877187
-27.74231512,-28.30041075,-0.360778728,-0.238692348,0.124211207
-74.79315802,-75.1117409,-0.364048813,-0.278679634,0.088637389
-30.72678072,-30.36636591,-0.384047572,-0.229004603,0.150519701
-61.26977956,-61.73873399,-0.350893845,-0.294472885,0.067734722
-48.17208438,-48.88482938,-0.351641218,-0.279728426,0.073317712
-46.23369193,-46.40224012,-0.362249057,-0.238788739,0.121228283
-33.42413293,-32.76848573,-0.360821616,-0.218791353,0.138086223
-23.79664082,-23.05567366,-0.343731643,-0.221203684,0.122531978
-27.49591748,-27.53866539,-0.346173369,-0.222865883,0.118590627
-58.22081506,-59.02690812,-0.355153792,-0.287010098,0.075525608
-45.76548384,-44.37241315,-0.371877877,-0.227585957,0.153336805
-71.30370933,-71.59259561,-0.35224798,-0.251964673,0.105015485
-39.5843157,-38.95622748,-0.37686682,-0.235040122,0.148163696
-51.43490156,-51.9194941,-0.36549426,-0.269258515,0.087809104
-88.79565271,-89.11378819,-0.350255169,-0.259783446,0.087156698
-35.75182344,-34.90648221,-0.355301786,-0.064389843,0.356727749
-33.64104821,-33.76111049,-0.352268333,-0.248724294,0.10085382
-23.2575841,-17.45582256,-0.347545376,-0.173213671,0.187817733
-53.10824825,-53.42449441,-0.372815983,-0.316683667,0.053830134
-55.45856097,-56.11775018,-0.360115801,-0.221598051,0.13172383
-28.39999594,-21.10420574,-0.394701578,-0.054440409,0.343833839
-33.36909049,-32.8032198,-0.354688087,-0.198757429,0.167931629
-23.21618521,-16.17464079,-0.356339816,-0.04866067,0.330951581
-23.17122864,-22.9152626,-0.351223982,-0.224285073,0.127859069
-27.13865587,-27.13006768,-0.367895489,-0.195852398,0.17958405
-76.11042133,-76.27875228,-0.338384866,-0.220620406,0.116142594
-23.5222998,-23.00947934,-0.370718943,-0.252678314,0.126435939
-50.74839081,-51.17794628,-0.378282545,-0.321566516,0.063753253
-37.34935532,-37.50860329,-0.362412021,-0.247566887,0.102235251
-52.01114513,-52.45042918,-0.371474683,-0.315287893,0.053014172
-48.32161469,-48.72781364,-0.346281716,-0.226595618,0.115925918
-135.8828933,-118.9488914,-0.336052372,-0.212097266,0.147080159
-49.67340137,-50.0265852,-0.338156199,-0.196722958,0.140989161
-46.86673952,-47.46999017,-0.358454205,-0.271055572,0.088113136
-29.85525106,-29.42051923,-0.352800437,-0.215690333,0.13101936
-62.24783354,-62.62790737,-0.35289748,-0.22551091,0.131128201
