total_enthalpy,free_energy,homo,lumo,gap
-45.43433496,-45.40468023,-0.370706793,-0.254450151,0.120458539
-28.61075531,-26.5629852,-0.37244522,-0.250987326,0.127057038
-33.20952804,-32.72435764,-0.404204171,-0.267640819,0.129593128
-72.07743834,-72.48725044,-0.427417499,-0.327985631,0.091232075
-31.83923524,-30.11878004,-0.374269155,-0.251363572,0.131188707
-33.13816706,-33.02531968,-0.397209737,-0.294919038,0.104194156
-29.55649747,-29.41337578,-0.416674951,-0.297723776,0.114575286
-17.20451571,-17.4698099,-0.409153454,-0.275919473,0.131417378
-40.46339441,-39.91137601,-0.379542195,-0.264675798,0.121916491
-35.913608,-35.81147296,-0.377855753,-0.24879797,0.134103176
-47.18128586,-47.62273713,-0.37744455,-0.247657656,0.125530688
-49.92688752,-50.10228082,-0.36352605,-0.278676414,0.092963216
-50.5348797,-50.68747732,-0.404523675,-0.264965742,0.139037477
-54.12633772,-54.05289919,-0.359935283,-0.271259352,0.096793851
-30.06936471,-29.67657738,-0.406312278,-0.26762808,0.132791356
-89.0987776,-89.39772501,-0.386552383,-0.296783061,0.093068653
-21.69013712,-16.23458433,-0.423274675,-0.300851016,0.0970224
-23.15619194,-19.97705367,-0.434113098,-0.259596276,0.177069265
-29.66333937,-29.45401664,-0.421915979,-0.297418476,0.119074043
-51.32028609,-51.63815735,-0.397359548,-0.26773952,0.125934943
-58.76966789,-59.39482369,-0.391024148,-0.270638168,0.106968576
-23.54307791,-23.60410635,-0.410325637,-0.285095845,0.122873328
-30.54983665,-24.84231221,-0.410813728,-0.238909623,0.173954588
-34.17675065,-33.38294541,-0.396556292,-0.265435218,0.123088723
-27.05647215,-27.17176085,-0.389142657,-0.256846092,0.135508585
-26.9656763,-22.84173114,-0.409668914,-0.241178743,0.163493871
-34.34814135,-33.90478603,-0.419361981,-0.286092706,0.132942501
-32.96314959,-32.88857252,-0.344952239,-0.270345788,0.096082763
-34.20502792,-33.57000397,-0.420874379,-0.282704056,0.1246849
-48.48767845,-48.50085928,-0.427315118,-0.349728246,0.072939554
