smiles,pkb
c1nc[nH]n1,2.5
C[n+]1cccnc1[O-],2.5
c1cc2nccnc2cn1,2.5
COc1ncnc2c1cnn2C,2.51
Cc1ncnc2ccccc12,2.52
COc1cccnn1,2.52
Nn1cnnc1,2.53
c1cscn1,2.54
CSc1ccc(N)c(Cl)c1,2.56
Cc1cc(N)cc(C)c1[N+](=O)[O-],2.56
c1cn[nH]c1,2.565
O=C(O)c1nccs1,2.57
CN(C)c1ccc(C(=O)O)cc1,2.57
CCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1CC,2.58
ONc1ccc(Cl)cc1,2.58
CN(C)c1cccc([N+](=O)[O-])c1,2.58
CCOC(=O)c1ccc(N)cc1,2.58
CCc1cc(N=Nc2ccc(N(C)C)cc2)ccc1C,2.59
Cc1cc(C)c(Nc2ncnc(Nc3ccc(C#N)cc3)n2)c(C)c1,2.6
CN(C)c1cccc([N+](C)(C)C)c1,2.6
Oc1ccc2nc3ccccc3nc2c1,2.6
CN1Cc2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c21)OCO4,2.6
Nc1c2[nH]cnc2nc[n+]1[O-],2.6
Cc1ncnc2nc[nH]c12,2.6
Oc1c(Br)cc(Br)c2cccnc12,2.6
Nc1ncnc2c1nnn2Cc1ccco1,2.6
CCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1C,2.6
Nc1cccc([N+](=O)[O-])c1,2.6
COC(=O)c1ccc(N(C)C)cc1,2.61
Oc1c(I)cc(Cl)c2cccnc12,2.61
OCc1nc2ncncc2[nH]1,2.62
Nc1cccc2nccnc12,2.62
Nc1cc([N+](=O)[O-])c2ccccc2c1,2.62
COc1ccc(Cl)cc1Nc1cc(C(F)(F)F)c(C(=O)NCC2CCOCC2)cn1,2.63
O=C(NCC1CCOCC1)c1cnc(Nc2cccc(Cl)c2)cc1C(F)(F)F,2.63
Nc1ccccc1Cl,2.64
O=[N+]([O-])c1ccc2[nH]c(-c3ccco3)nc2c1,2.64
Cc1cnc(C)c(C)n1,2.65
[O-][n+]1cnc2[nH]cnc2c1NCc1ccccc1,2.66
c1ccc(-c2nc3ncncc3[nH]2)cc1,2.68
Clc1nc2cc3c(cc2[nH]1)CCCC3,2.68
Brc1cnc2ccccc2c1,2.69
COc1cc(S(C)=O)ccc1-c1nc2ncncc2[nH]1,2.69
Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C,2.69
Cn1ncc2c(N)nc(Cl)nc21,2.69
Nc1cccc2nnccc12,2.7
Cc1cc(C)ncn1,2.7
c1ccc(CSc2nc(SCc3ccccc3)c(-c3ccccc3)[nH]2)cc1,2.7
Oc(c(I)cc1I)c2c1c(C)ccn2,2.7
Oc1cccc2ccnnc12,2.72
CC(=O)c1ccccn1,2.73
c1csc(-c2nccs2)n1,2.76
Nc1ncnc2scnc12,2.77
CCOC(=O)c1cnc(N(C)C)s1,2.77
Nc1ccc([N+](=O)[O-])cn1,2.78
COc1cc(C=Nc2ncc3nc[nH]c3n2)ccc1O,2.79
Nc1cccc2cccc([N+](=O)[O-])c12,2.79
Cc1cc(-c2cc(C)[nH]n2)n[nH]1,2.8
Cc1cc(-c2cc(C)[nH]n2)[nH]n1,2.8
N#Cc1ccc(Nc2nc(N)nc(Cc3c(Cl)ccc(Cl)c3Cl)n2)cc1,2.8
N#Cc1ccc2c(c1)CCN2,2.8
Nc1ccc(-c2ncc(-c3ccc(Br)cc3)o2)cc1,2.8
Nc1cccc2c([N+](=O)[O-])cccc12,2.8
C=CCc1c(O)n[nH]c1C,2.8
CNc1nnc(-c2ccccc2)s1,2.8
CCCc1c(O)n[nH]c1C,2.8
Nc1cccc2cncnc12,2.81
NNC=O,2.81
Nc1ccc(N=Nc2ccccc2)cc1,2.82
Nc1cccc2ccc([N+](=O)[O-])cc12,2.83
Nc1cncnc1,2.83
N#Cc1cccc(N)c1,2.83
Clc1cccnc1,2.84
c1ncc2cn[nH]c2n1,2.84
CNc1ncnc2scnc12,2.84
CN(C)c1ccc(N=Nc2ccccc2)cc1,2.85
Cc1nnc(C)c(C)n1,2.85
Cc1nc2ncncc2[nH]1,2.85
NNC(=O)c1ccccn1,2.86
Nc1ccc2cccc([N+](=O)[O-])c2c1,2.86
[O-][n+]1cnc(NCc2ccccc2)c2nc[nH]c21,2.86
Nc1ccc(-c2ncc(-c3ccc(Cl)cc3)o2)cc1,2.87
Nc1cccc(S(N)(=O)=O)c1,2.87
Cc1c(Br)cc(N)cc1Br,2.87
COc1cc(S(C)=O)ccc1-c1cn2ccncc2n1,2.88
O=[N+]([O-])c1ccc(O)c2ncccc12,2.88
Cc1cccc(N=Nc2ccc(N)cc2)c1,2.88
Oc1c(Cl)cc(Cl)c2cccnc12,2.89
O=C(O)c1cscn1,2.9
CC(C)(C)c1cc(O)[nH]n1,2.9
Nc1nnc(-c2ccccc2)s1,2.9
Nc1ccc2cc([N+](=O)[O-])ccc2c1,2.9
Cc1ncnc2c(O)cccc12,2.9
Brc1cccnc1,2.91
Cc1ncnc2nccnc12,2.92
Cc1nc2cncnc2nc1C,2.93
CC(C)(C)c1cc(N)cc(C(C)(C)C)c1[N+](=O)[O-],2.93
O=[N+]([O-])c1ccc2[nH]c(-c3ccccc3)nc2c1,2.95
CSc1nc2ncncc2[nH]1,2.95
Nc1ccc2nccnc2c1,2.95
Nc1ccccc1F,2.96
Fc1cccnc1,2.97
NC(=NO)C(N)=NO,2.97
CN(C)c1cccc(C#N)c1,2.97
CSc1nc2cncnc2n1C,2.98
Brc1ccc(N2CCc3ccccc3C2)nc1,3
CC(=O)Nc1cccc2cc3ccccc3nc12,3
CCNc1nnc(-c2ccccc2)s1,3
Cc1ccc(N)cc1[N+](=O)[O-],3
Cc1[nH]nc(O)c1C(C)C,3
Nc1ccc(-c2ncc(-c3ccccc3)o2)cc1,3.01
Nc1ccccc1NC(=O)c1ccc([N+](=O)[O-])cc1,3.01
NNC(=O)c1ccccc1,3.02
CN(CO)c1ccc(Cl)cc1,3.02
Clc1ccnc2c1ccc1c(Cl)ccnc12,3.03
Cc1ccc(N=Nc2ccc(N)cc2)cc1,3.04
CCOC(=O)c1cnc(N)s1,3.04
COc1nccc2ccccc12,3.05
Nc1ccc2c(c1Br)CCCC2,3.05
Nc1cc2c(cc1Br)CCCC2,3.05
Nc1cccc2cn[nH]c12,3.05
COc1ccccn1,3.06
C#CCNc1ccccc1,3.06
Cn1c(=O)n(C)c2c(N)cccc21,3.06
FC(F)(F)c1cccc2ncccc12,3.09
COc1ccc(-c2nc3ncncc3[nH]2)c(OC)c1,3.09
CCN(CC)c1nnc(-c2ccccc2)s1,3.09
Nc1cc([N+](=O)[O-])ccc1O,3.1
COCC(C1CC1)n1cc(Cl)nc(Nc2cc(C)c(OC)nc2C)c1=O,3.1
CS(=O)Cc1ccccn1,3.1
CSc1nc(N)c2c(ncn2C2OC(CO)C(O)C2O)n1,3.1
N#Cc1ccc(Nc2nc(N)nc(Cc3c(Cl)cccc3Cl)n2)cc1,3.1
O=Cc1ccc2ccccc2n1,3.1
Cc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1,3.1
CSc1nc(N)c2[nH]cnc2n1,3.1
Nc1ncnc2nn(C3CC(O)C(CO)O3)nc12,3.1
Clc1cccc2cccnc12,3.12
O=[N+]([O-])c1ccc(C=Nc2ncccn2)cc1,3.12
COc1cc2c(cc1OC)C13CCN4C1CC1C(=CCOC5CC(=O)N2C3C51)C4S(=O)(=O)[O-],3.12
Oc1ccc2ncncc2c1,3.12
COC(=O)c1cccnc1,3.13
COc1ncnc2ccccc12,3.13
Nc1ccc2ccc([N+](=O)[O-])cc2c1,3.13
Cc1cscn1,3.14
Nc1cnccn1,3.14
NS(=O)(=O)c1ccccc1C(=O)O,3.14
COc1nc2ncncc2[nH]1,3.14
Nc1n[nH]c2ccccc12,3.15
Nc1cccc2cc([N+](=O)[O-])ccc12,3.15
CC1(C)CC(=O)C=C(N2CCCC2)C1,3.15
Cc1cc(C)[n+](C)c([S-])n1,3.15
Cc1ncncc1N,3.15
FC(F)(F)c1ccc2cccnc2c1,3.16
