smiles,pka
O=C(O)COc1cccc(F)c1,3.13
O=C(O)COc1ccc(F)cc1,3.13
O=C(O)COc1cccc(I)c1,3.13
O=C(O)COc1ccc(Br)cc1,3.13
O=C(O)COc1ccccc1Br,3.13
COc1c(C)cc2c(c1C(=O)O)COC2,3.13
COc1cccc(OCC(=O)O)c1,3.14
Cc1ccc(O)c(C(=O)O)c1,3.15
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,3.15
CS(=O)(=O)Nc1ccc(CC([NH3+])C(=O)O)cc1,3.15
Nc1nc2c(ncn2C2C=CC(CO)C2)c(O)[nH+]1,3.15
O=C(O)C1COCCO1,3.15
O=C(O)COc1ccc(I)cc1,3.16
CC(=O)N(C)CC(=O)O,3.16
O=C(O)CI,3.16
O=C(O)COc1ccccc1,3.17
O=C(O)COc1ccccc1I,3.17
O=C(Nc1ccccc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,3.18
O=C(O)c1ccco1,3.18
O=C(O)CSc1ccccc1[N+](=O)[O-],3.18
O=C1C=C(O)c2ccccc2C1=O,3.19
O=C1C=C(O)C(=O)c2ccccc21,3.19
CSC(=S)NCC(=O)O,3.19
O=C(O)COc1cccc2ccccc12,3.2
Cc1ccc(C(=O)O)c(I)c1,3.2
CC(=O)N1CC2(C(C)C)OC(=O)CC2C1C(=O)O,3.2
O=C(O)c1cccc(=O)cc1,3.2
Cc1cc(-c2c(C)noc2O)on1,3.2
Cc1cccc([NH3+])c1C(=O)O,3.2
O=C(O)CSc1ccc([N+](=O)[O-])cc1,3.2
Cc1ccc(OCC(=O)O)cc1,3.21
COc1ccc(OCC(=O)O)cc1,3.21
CC(I)C(=O)O,3.21
C/C=C(\Cl)C(=O)O,3.22
N#Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,3.22
CCP(=O)(O)CC,3.22
CC=C(Cl)C(=O)O,3.22
COc1ccccc1OCC(=O)O,3.23
Cc1ccccc1OCC(=O)O,3.23
CC#CC#CCC(=O)O,3.23
CNC(=O)/C=C(/C)C(=O)O,3.23
CCCCCP(=O)(O)CCCCC,3.23
CNC(=O)C=C(C)C(=O)O,3.23
O=C(O)C12CC3(F)CC(F)(CC(F)(C3)C1)C2,3.24
CCCCCCP(=O)(O)CCCCCC,3.24
O=C(O)c1csc([N+](=O)[O-])c1,3.24
CCC(C)CC([NH3+])C(=O)O,3.25
O=[N+]([O-])c1cccc(-c2nnn[nH]2)c1,3.25
CC(C)CP(=O)(O)CC(C)C,3.25
Cc1ncc(C(=O)O)s1,3.26
CC(C)CCP(=O)(O)CCC(C)C,3.26
O=C(O)c1ccc(=O)oc1,3.26
CC(=O)c1c(C(=O)O)cccc1[N+](=O)[O-],3.26
O=C(O)c1ccccc1F,3.27
Cc1ccc(C(=O)O)c(Cl)c1,3.27
O=C(O)c1cscn1,3.27
CC(=O)c1ccc([N+](=O)[O-])cc1C(=O)O,3.27
O=C(O)c1cc(F)c(F)cc1F,3.28
O=C(O)c1csc(Br)n1,3.28
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,3.29
Cc1ccc(C(=O)O)cc1Br,3.29
O=C(O)c1cccc(F)c1F,3.29
O=C(O)[c+]1cccccc1,3.29
O=C(O)c1cc(F)ccc1F,3.3
O=C(O)c1ccc(F)c(F)c1F,3.3
O=C(NC1CCCCC1C(=O)O)c1ccccc1,3.3
CC1CCCC(C(=O)O)c2nnnn21,3.3
Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c2c(n1CC(=O)O)CCN(Cc1ccccc1)C2=O,3.3
O=C(O)/C(I)=C/c1ccccc1,3.3
O=C(O)c1ccc(Br)s1,3.3
O=C(O)c1csc(Cl)n1,3.3
O=CC(=O)O,3.3
[NH3+]c1ccccc1OC1OC(C(=O)O)C(O)C(O)C1O,3.3
Oc1onc2c1CC[NH+](Cc1ccccc1)CC2,3.3
O=C(O)Cn1cccc1,3.3
Oc1onc2c1CC[NH2+]CC2,3.3
COc1ccc(-c2cc(C(=O)O)[nH]n2)cc1,3.31
C#CCC(=O)O,3.31
Cc1cccc(O)c1C(=O)O,3.32
Cc1cc2ccccc2c(C(=O)O)c1C,3.33
CCCP(=O)(O)CCC,3.33
O=C(O)/C=C/C(=O)c1ccccc1,3.34
O=C(O)C=CC(=O)c1ccccc1,3.34
CN(C)C(=S)SCC(=O)O,3.34
Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,3.35
Cc1c(Br)cccc1C(=O)O,3.36
Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)c(C(=O)O)c1,3.36
Cc1ccccc1OC(C)C(=O)O,3.37
CCC(CC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,3.37
CCc1ccc(C(=O)/C=C/C(=O)O)cc1,3.38
O=C(O)C1CCc2ccccc2O1,3.38
CCc1ccc(C(=O)C=CC(=O)O)cc1,3.38
CC(O)(c1ccccc1)C(C(=O)O)c1ccc(-c2ccccc2)cc1,3.38
O=C(O)C1CC[NH2+]C1,3.38
c1cc(-c2nn[nH]n2)cc(-c2nnn[nH]2)c1,3.38
O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,3.39
O=C(O)c1cnoc1,3.39
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.4
Cc1ccc(C(=O)O)c(O)c1,3.4
CC(=O)Nc1ccccc1C(=O)O,3.4
Nc1cc(Cl)cc(C(=O)O)c1Cl,3.4
CN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)O)c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C,3.4
