total_enthalpy,free_energy,homo,lumo,gap
-33.29544215,-33.40636518,-0.393478167,-0.285484751,0.117830687
-44.76316793,-45.39891938,-0.391650386,-0.292500154,0.107307357
-17.68581663,-17.49789211,-0.385147987,-0.230161589,0.148355128
-46.13734271,-46.57891763,-0.369029962,-0.289936685,0.088881493
-21.70389965,-21.41539905,-0.375981163,-0.225907626,0.149124549
-19.73489075,-19.09629688,-0.394326825,-0.282537674,0.114401276
-24.84356406,-24.21649213,-0.373826818,-0.275610567,0.108075267
-44.50506677,-44.75576492,-0.390341954,-0.295825185,0.101714372
-27.03965085,-26.64008071,-0.404151242,-0.352330708,0.055981865
-38.05115991,-38.24181709,-0.356380864,-0.244618592,0.128190154
-20.76679648,-20.12523035,-0.376616568,-0.277315461,0.101705786
-19.84580078,-20.40105973,-0.389245416,-0.310366472,0.091303454
-49.21424485,-49.6466093,-0.379571551,-0.272986607,0.10279589
-54.74851268,-54.88447369,-0.363128425,-0.255729404,0.116971864
-20.55153916,-19.66738123,-0.366099281,-0.273378775,0.086935401
-28.75085602,-27.99112236,-0.376620406,-0.223689605,0.152646434
-31.23174966,-31.34089393,-0.373526417,-0.279588171,0.094015097
-28.82551755,-28.77678676,-0.404971662,-0.334521282,0.077644426
-30.2164196,-30.32137753,-0.34812305,-0.293391095,0.057494456
-40.43921596,-40.46022348,-0.405137945,-0.329367973,0.071833711
-27.30558315,-27.00448888,-0.367950597,-0.268355697,0.098148876
-28.72670827,-28.75551771,-0.374954159,-0.211898657,0.165609381
-33.54542818,-33.28684679,-0.398813999,-0.299332234,0.096869045
-46.44216394,-46.76357584,-0.371136331,-0.292020287,0.087956698
-38.76346485,-38.68909314,-0.374231367,-0.263409607,0.104584064
-20.67956215,-20.09039642,-0.364693217,-0.271487489,0.091755474
-46.12757539,-46.57291867,-0.372891793,-0.247746189,0.119306965
-42.74124852,-42.60059919,-0.385184426,-0.275460426,0.115569369
-27.78462358,-27.43553854,-0.366287483,-0.212997983,0.176695492
-49.23905847,-49.63503575,-0.373372257,-0.260751639,0.111206114
-32.9266785,-32.23995485,-0.37561943,-0.256860403,0.11781031
-58.40967181,-58.72217081,-0.380001879,-0.272363814,0.108607918
-30.153452,-30.80292294,-0.382297311,-0.305279242,0.084304454
-20.65987398,-20.55255466,-0.342314314,-0.190771022,0.163860288
-50.69332917,-51.09285472,-0.375233172,-0.271400874,0.105778082
-27.98698573,-27.83306775,-0.374091747,-0.245519753,0.131406605
-52.4191009,-52.820579,-0.368478663,-0.25595052,0.116940577
-28.28425407,-27.62324232,-0.3625515,-0.258357675,0.103951319
-28.12066188,-27.87725729,-0.38674379,-0.259265239,0.123312881
-43.35256428,-43.39761629,-0.375415457,-0.301763784,0.079001538
-24.07567937,-23.68502706,-0.353758017,-0.270987253,0.084718055
-34.79686276,-34.26559944,-0.392767816,-0.237957825,0.140708727
-30.5160866,-30.59887372,-0.364217727,-0.257359054,0.105260569
-28.47689494,-28.37341989,-0.409069335,-0.275016847,0.125427049
-28.41476015,-28.23389984,-0.418222324,-0.328797441,0.094901583
-45.28607306,-44.93035892,-0.366624961,-0.223508919,0.134574536
-26.86380825,-27.40094273,-0.367305681,-0.254258864,0.118668283
-47.32016613,-47.67897836,-0.393370386,-0.271564004,0.122020864
-52.55258899,-52.50428158,-0.322870085,-0.279182472,0.045698473
-35.4869005,-35.41760765,-0.382878131,-0.254389546,0.121498977
-40.51452609,-40.32586131,-0.360691528,-0.222283131,0.140374179
-50.58701306,-50.82069884,-0.390052896,-0.268533606,0.12189917
-35.3217463,-36.11970903,-0.344054977,-0.302592931,0.036313053
-30.68648329,-29.74765088,-0.383052649,-0.290663832,0.100129674
-32.25236443,-31.98471857,-0.373363334,-0.267298931,0.101706175
-42.02101842,-42.02392683,-0.419587018,-0.314513717,0.101610337
-42.07161471,-42.09473724,-0.41361719,-0.310759439,0.100001325
-30.99214501,-30.7153811,-0.370043508,-0.230343776,0.129035372
-37.35769497,-37.17872948,-0.362776113,-0.223302452,0.137002868
-25.24690289,-25.15095538,-0.382452826,-0.219240965,0.160679015
-32.08141125,-32.01021993,-0.403710922,-0.269856514,0.128707911
-39.42465347,-39.72261224,-0.382549144,-0.314494206,0.073856977
-50.5750428,-51.03189535,-0.385346689,-0.23718279,0.139235344
-26.57244636,-26.02847072,-0.382903631,-0.281899333,0.101930937
-41.4741037,-41.65200459,-0.370215817,-0.242572945,0.132060752
-41.69791943,-41.83276462,-0.380606567,-0.273343288,0.09650962
-29.63047587,-29.28239715,-0.375692961,-0.26075471,0.107953323
-19.72553791,-19.41600088,-0.371304169,-0.26282631,0.109373217
-16.2664646,-16.32267153,-0.354633761,-0.287484721,0.078583317
-26.01704807,-26.45483489,-0.347227603,-0.302128194,0.053047672
-27.73601337,-27.90155271,-0.372712522,-0.273598445,0.09198816
-22.23407558,-21.9822895,-0.388981676,-0.208439945,0.172690914
-26.86817188,-26.63579464,-0.385146189,-0.260753143,0.126997492
-17.37875794,-17.48912026,-0.389823678,-0.226540292,0.152200004
-29.59872533,-29.11231388,-0.374887361,-0.271261549,0.101544808
-49.26799393,-49.38230737,-0.322189895,-0.280129688,0.043214446
-29.38251622,-29.70664133,-0.370177302,-0.283506629,0.090748995
-38.29273721,-38.41941634,-0.362965016,-0.240016188,0.122411429
-23.9511066,-20.44266073,-0.404406361,-0.246032082,0.163896019
-38.02198841,-37.89661558,-0.378836969,-0.274031301,0.097072835
-46.90314153,-47.37533177,-0.38374923,-0.255273969,0.124029307
-35.2708449,-35.25323147,-0.375201246,-0.251238469,0.124237125
-33.42614396,-33.55283665,-0.371123851,-0.266220332,0.104221029
-62.51019568,-62.97861049,-0.381692566,-0.23443578,0.156143279
-23.86198405,-24.02824299,-0.385798641,-0.223857404,0.165653272
-47.02757613,-47.44196749,-0.400877568,-0.314458965,0.0869439
-52.45015486,-52.38393748,-0.319451005,-0.27733431,0.045246469
-42.64988275,-43.11858004,-0.364268452,-0.266052173,0.100350178
-30.05049016,-29.80989876,-0.380087408,-0.256307036,0.116154936
-20.04843925,-20.12526107,-0.387267894,-0.225721997,0.162401298
-18.28661285,-18.32692417,-0.401861376,-0.209926049,0.178532739
-54.73397682,-54.85005647,-0.361497367,-0.266551841,0.095172657
-30.68912373,-30.89141724,-0.38381537,-0.325651895,0.065231059
