smiles,pkb
CNCC(O)c1ccccc1,9.31
c1csc(C2CCCN2)c1,9.35
NCc1ccccc1,9.36
C=C(C)C(=O)NC(C)(C)CCN(C)C,9.37
C=CC(=O)NC(C)(C)CCN(C)C,9.39
CC(N)CCCc1ccc(O)cc1,9.4
N=C(N)Nc1nc(N)nc(N)n1,9.4
CCN1CCC2(C)c3cc(O)ccc3CC1C2C,9.42
CC(N)CO,9.43
CN=C1CCCCC1,9.43
C1CN2CCC3OCC1C32,9.44
CC(C)NCC(O)COc1cccc2ccccc12,9.46
CC(C)NCC(O)c1cccc(F)c1,9.48
CCC(O)CN(CC(C)O)C(C)(C)C,9.5
CC1CCC(O)C(N)C1,9.5
NCCCc1ccccc1O,9.51
Cc1ccc(OC(=O)CCCN(C)C)cc1,9.53
CN(C)CC1C2C=CC(C2)C1CO,9.54
CCc1cc(Cl)c([O-])c(C(=O)NCC2CCCN2CC)c1OC,9.54
NC1Cc2ccccc2C1,9.55
COc1ccc(CC(C)N)cc1OC,9.6
CCC(O)CN(CC(O)CC)C(C)(C)C,9.6
CCCN(C)C,9.62
NCCc1ccc(Cl)cc1,9.66
Cc1ccccc1NC(=N)Nc1ccccc1C,9.67
COCC(C)CN(C)C,9.69
Cc1cc(CN)c(O)c(CN)c1,9.7
CCNCc1ccccc1,9.75
CCN(CC)CC(O)CO,9.77
CCCC1CCCN1C,9.78
CNC(C)Cc1ccc(OC)c(OC)c1,9.8
CSC(=N)N,9.83
NCCC=C(Cl)Cl,9.85
CNCC(C)c1ccccc1,9.87
CC(N)Cc1ccccc1,9.9
COCCCN,9.92
OC1CN2CCC1CC2,9.93
N=C(Nc1ccccc1)Nc1ccccc1,9.94
CCCCNCc1ccc(C)cc1,9.98
NCCCCBr,10
CCCCC1CCCN1C,10.01
ClCC1CN2CCC1CC2,10.15
CNC1CCCCC1O,10.16
CC1CCCN1C,10.24
CCCCCCCN,10.34
NCCCCO,10.35
CC(C)C(N)C(C)C,10.4
NCCCC(=O)[O-],10.48
OCC1CN2CCC1CC2,10.56
CC1CCN2CC=CC12,10.59
CCCCCCCCCCCCCCCCCN,10.6
CCCCCCCCCCCN,10.63
CNCCCNC(=O)C=N[O-],10.63
CCCCCN,10.65
CCCCCCN,10.68
C1CCC(N2CCCC2)CC1,10.7
CCCCN,10.7
CNCCCCc1ccccc1,10.76
N=C(N)Nc1ccccc1,10.79
CCN,10.84
CCC(C)(N)CC,10.91
C1CCC2CNCCC2C1,10.95
CCCNC(C)C,10.96
CCCCCC(C)NC,10.99
CCCCCCCCCCCCCNCCCCCCCCCCCCC,11
CCC(C)NC(C)C,11
CCCNCCC,11.02
CCNCC,11.05
CCCCCNCCCCC,11.18
C1CNC1,11.29
Nc1ccc2c(N)c3ccccc3nc2c1,11.49
C1CN=C2NCCC2C1,11.7
CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1,2.4
Cc1ccc(OC(C)(C)C(=O)N[C@@H](C)[C@@H](Cc2ccc(OCCF)cc2)c2cccc(C#N)c2)nc1,2.7
C=CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C,2.9
Nc1n[nH]c2cc(Br)ccc12,2.9
CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1,3.3
O=C1CCCC2(CCN(c3cnc4ccccc4n3)CC2)N1Cc1c[nH]c2ccccc12,3.3
O=C1CCCC2(CCN(c3cnc4ccccc4n3)CC2)N1Cc1ccccc1,3.3
CC1CCCN(C(=O)c2ccc(Nc3ccc(Cl)cc3)nc2)C1,3.4
Cc1ccc(C)c(CN2C(=O)CCCC23CCN(c2cnc4ccccc4n2)CC3)c1,3.4
CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1,3.6
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,3.6
O=C(Cc1ccccc1)N1CCCC12CCN(c1cnc3ccccc3n1)CC2,3.6
O=C1N(Cc2ccccc2)CCCC12CCN(c1cnc3ccccc3n1)CC2,3.6
c1ccc(Nc2ncc3ccccc3n2)cc1,3.6
CCCCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1,3.69
CCOCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1,3.7
O=C1N(Cc2cccc3[nH]ccc23)CCCC12CCN(c1cnc3ccccc3n1)CC2,3.75
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,3.8
COc1ccc2nccc(-n3cc4c(n3)CCC(NC(=O)c3ccc5c(c3)NC(=O)CS5)C4)c2n1,3.8
O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ncccn2)CC1,3.8
O=C1CN=C(c2ccccc2)c2cc3ccccc3cc2N1,3.8
O=C1N(Cc2c[nH]c3ccccc23)CCCC12CCN(c1ncccn1)CC2,3.8
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,3.84
CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1,3.9
CCc1ccccc1N(CC)C(=O)C1CCN(c2ncnc3c2nc2n3CCCCC2)CC1,3.9
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,3.9
Cc1csc2ncnc(NCCc3ccc(Cl)cc3)c12,3.9
Nc1ccc(-c2cc3ccccc3oc2=O)cc1,3.9
O=C1N(Cc2c[nH]c3ccccc23)CCCC12CCN(c1cnc3ccccc3n1)CC2,3.9
NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,4
Fc1cccc(-c2c[nH]c3ncccc23)c1,4.1
O=C(Nc1cccc2cnccc12)c1ccc(-c2ccccc2)cc1,4.1
Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,4.18
CCN(CC)c1ncnc2c1cnn2C,4.2
COCc1nc2ccccc2n1Cc1ccc(C(C)(C)C)cc1,4.2
Cc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,4.2
CNc1nc2ccccc2n(C)c1=O,4.25
CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,4.266667
Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1ccccn1,4.28
CCc1ncnc(NC(CC)c2ccc(Oc3ccc(F)cc3)cc2)c1Br,4.3
CC(=O)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1,4.31
Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1,4.35
COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1,4.4
Cc1cc(C)nc(N2CCC3(CCCC(=O)N3Cc3cccc4[nH]ccc34)CC2)n1,4.4
C/C(=C\c1ccc(C)cn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,4.5
Nc1ncnc2ccc(-c3ccnc(F)c3)nc12,4.5
N#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,4.6
OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,4.6
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,4.63
COc1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1,4.65
Cc1cc(C)nc(N2CCC3(CCCN(Cc4cn(C)c5ccccc45)C3=O)CC2)n1,4.7
Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)nc4-c4ccccc4)C3=O)CC2)n1,4.7
Cc1nc2ccccn2c1C(=O)NCc1ccc(-c2ccccc2)cc1,4.7
Nc1ncnc2ccc(-c3cccc(F)c3)nc12,4.7
Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)cc4-c4ccccc4)C3=O)CC2)n1,4.75
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,4.8
COC(=O)c1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1,4.8
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1,4.8
Cc1cc(C)nc(N2CCC3(CCCN(Cc4ccccc4-c4nc(C)no4)C3=O)CC2)n1,4.8
c1ccc(-c2nc3n(c2-c2ccccc2)CCS3)cc1,4.8
COc1ccc(N)c2ccccc12,4.9
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)cc3)c2)cc1,4.9
c1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,4.9
Cc1cc(C)nc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,4.94
C/C(=C\c1ccccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5
COc1ccc(CNC(=O)c2c(C)nc3ccccn23)cc1,5
Cc1nc(N2CCN(CC3CC3)C2=O)sc1C(=O)NCc1cccnc1,5
Cc1nc2ccccn2c1C(=O)NCc1ccc(Cl)cc1,5.1
O=C(CSc1nccn1C1CCCC1)Nc1ccc(C(F)(F)F)cc1,5.1
COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC,5.2
Cc1ccc(Nc2ncc(C(=O)N3CCCCC3)cc2Cl)cn1,5.2
Cn1c(N)nc2ccccc2c1=O,5.2
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,5.2
COc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,5.283333
CCC1CCCCN1C(=O)c1cnc(Nc2ccc(C)nc2)c(Cl)c1,5.3
COc1ccc(/C=C/C(=O)N2CCN(c3ccccn3)CC2)cc1,5.3
COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1,5.3
Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,5.3
N#Cc1ccc2[nH]cc(-c3ccnc(N)n3)c2c1,5.3
CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,5.4
NC(=O)c1ccc(-c2cc(-c3ccccc3)cnc2N)cc1,5.4
C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.5
C/C(=C\c1cccc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,5.5
COc1cccc2[nH]cc(-c3ccnc(N)n3)c12,5.522
COc1ccc(SCCc2ccncc2)cc1,5.6
Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl,5.6
CCN(Cc1ccccc1)c1ccccc1,5.8
Cc1ncc(-c2ccc(C(F)(F)F)cc2)c(NC2C3CC4CC(C3)CC2C4)n1,6
Cc1ncc(-c2ccc(C(F)(F)F)cc2)c(NC2CCCCCC2)n1,6
COc1ccc(-c2c(C)nc3c(-c4ccccn4)cnn3c2N)cc1,6.07
CC(C)Nc1nc(Nc2ccc(C(N)=O)cc2)c2sccc2n1,6.3
COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,6.37
O=S(=O)(c1ccccc1)n1cc(-c2cccc3nccn23)c2ccccc21,6.4
COc1ccc(Nc2ccc3ccccc3n2)cc1,6.5
CCc1ccc(-c2cnc(C)nc2NC2CCCC2)cc1,6.8
Nc1nc(-c2ccccc2)cc2ccccc12,6.9
Nc1nccc(N2CCc3ccc(Br)cc32)n1,6.9
N#Cc1cc(C[NH+]2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,7
COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1,7.1
COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)ccc1OCC(C)C,7.17
CC(C)Cn1cnc2c(N)nc3ccccc3c21,7.24
COc1ccc(OC)c(S(=O)(=O)N2CCC(CN3CC[NH+](Cc4ccc(F)cc4)CC3)CC2)c1,7.32
Nc1ccc2ccccc2n1,7.5
Cc1ccc2nc(N)ccc2c1,7.6
Cc1cc(N)nc2ccccc12,7.9
c1ccc(Nc2nc(NC3CCCCC3)nc3ccccc23)cc1,8
NC1=[NH+]c2ccccc2CC1,9.55
